iter	Passed	Remaining
843	12154	2246
844	12169	2232
845	12184	2217
846	12199	2203
847	12214	2189
848	12229	2175
849	12243	2160
850	12258	2146
851	12273	2132
852	12287	2117
853	12302	2103
854	12318	2089
855	12333	2074
856	12348	2060
857	12362	2046
858	12378	2031
859	12393	2017
860	12408	2003
861	12424	1988
862	12438	1974
863	12454	1960
864	12468	1945
865	12484	1931
866	12499	1917
867	12513	1903
868	12528	1888
869	12544	1874
870	12559	1860
871	12573	1845
872	12587	1831
873	12603	1816
874	12617	1802
875	12632	1788
876	12647	1773
877	12663	1759
878	12678	1745
879	12693	1730
880	12708	1716
881	12722	1702
882	12737	1687
883	12751	1673
884	12767	1658
885	12781	1644
886	12796	1630
887	12811	1615
888	12826	1601
889	12841	1587
890	12856	1572
891	12870	1558
892	12885	1543
893	12900	1529
894	12915	1515
895	12930	1500
896	12945	1486
897	12959	1472
898	12974	1457
899	12988	1443
900	13003	1428
901	13018	1414
902	13033	1400
903	13048	1385
904	13063	1371
905	13078	1356
906	13091	1342
907	13106	1327
908	13121	1313
909	13135	1299
910	13151	1284
911	13166	1270
912	13181	1256
913	13195	1241
914	13210	1227
915	13225	1212
916	13239	1198
917	13254	1183
918	13269	1169
919	13284	1155
920	13298	1140
921	13312	1126
922	13327	1111
923	13340	1097
924	13355	1082
925	13369	1068
926	13385	1054
927	13400	1039
928	13415	1025
929	13431	1010
930	13445	996
931	13461	982
932	13475	967
933	13487	953
934	13494	938
935	13505	923
936	13511	908
937	13518	893
938	13532	879
939	13547	864
940	13562	850
941	13575	835
942	13590	821
943	13605	807
944	13621	792
945	13635	778
946	13652	764
947	13671	749
948	13686	735
949	13701	721
950	13717	706
951	13732	692
952	13747	677
953	13762	663
954	13777	649
955	13793	634
956	13807	620
957	13822	606
958	13837	591
959	13851	577
960	13865	562
961	13880	548
962	13895	533
963	13910	519
964	13925	505
965	13940	490
966	13955	476
967	13969	461
968	13984	447
969	13999	432
970	14013	418
971	14028	404
972	14043	389
973	14058	375
974	14073	360
975	14088	346
976	14102	332
977	14118	317
978	14133	303
979	14147	288
980	14161	274
981	14176	259
982	14191	245
983	14205	230
984	14220	216
985	14235	202
986	14250	187
987	14264	173
988	14280	158
989	14295	144
990	14309	129
991	14324	115
992	14339	101
993	14353	86
994	14367	72
995	14382	57
996	14397	43
997	14411	28
998	14426	14
999	14441	0
